name,descriptionAr,descriptionEn,image,categoryHandle,price,discountedPrice,handle,brand,metaKeywords,metaDescription,metaTitle
Aslavital Anti-Wrinkle Treatment Serum,"سيروم بمركب طين جاتولين، وهو مضاد طبيعي فريد للتجاعيد، مع تأثير رفع فوري.يستهدف جميع أنواع البشرة، بما في ذلك البشرة الحساسة.
تم اختباره من قبل أطباء الجلدية.

تم إنشاؤه خصيصًا للعلاج المكثف للوجه وخاصة المناطق الأكثر تعرضًا للشيخوخة والتجاعيد (المنطقة المحيطة بالعينين والشفتين والجبهة).

مستخلص جاتولين إكسبريشن، المرتبط بالطين غني بخصائص فريدة مضادة للتجاعيد.يعمل على إزالة التجاعيد فوريًا ويقلل التجاعيد بشكل مرئي بعد يوم واحد فقط من الاستخدام. يعطي راحة البشرة بعد 10 أيام فقط من الاستخدام.

حمض الهيالورونيك يحافظ على درجة ترطيب البشرة ويمنع ظهور التجاعيد.

كبسولات فيتامين E الصغيرة تمنع العدوان التأكسدي على المستوى الخلوي وتأثير الأشعة فوق البنفسجية.

الاستخدام

يستخدم يوميًا، صباحًا ومساءً، بعد تنظيف وتطهير الوجه، قبل كريم Ultra-Active Lift من نفس المجموعة.","Serum with Gatuline clay complex, a unique natural anti-wrinkle, with an immediate lifting effect. Targets all skin types, including sensitive skin.

Dermatologically tested.

Specially created for intensive treatment of the face and especially the areas most exposed to aging and wrinkles (area around the eyes, lips and forehead).

Gatuline Expression extract, associated with clay, is rich in unique anti-wrinkle properties. It acts immediately to eliminate wrinkles and visibly reduces wrinkles after just one day of use. It gives skin comfort after just 10 days of use.

Hyaluronic acid maintains the skin's hydration level and prevents the appearance of wrinkles.

Vitamin E microcapsules prevent oxidative aggression at the cellular level and the effects of UV rays.

Use

Use daily, morning and evening, after cleansing and toning the face, before the Ultra-Active Lift cream from the same range.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FAslavital-Anti-Wrinkle-Treatment-Serum.png?alt=media&token=e56af2f0-302d-45b6-bda3-2955f30bad41,skincare,36,28.8,Aslavital-Anti-Wrinkle-Treatment-Serum,Aslavital,"Aslavital, Anti-Wrinkle, Treatment, Serum, العناية بالبشرة, الجمال, مكافحة الشيخوخة, الأردن","سيروم بمركب طين جاتولين، وهو مضاد طبيعي فريد للتجاعيد، مع تأثير رفع فوري.يستهدف جميع أنواع البشرة، بما في ذلك البشرة الحساسة.
تم اختباره من قبل أطباء ...",Aslavital Anti-Wrinkle Treatment Serum  | المنتج الرسمي
Aslavital Clay Powder Treatment,بودرة الطين للعلاجات التجميلية,Clay powder for cosmetic treatments,https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FAslavital-Clay-Powder-Treatment.png?alt=media&token=9cf6237b-5beb-42c0-b544-fe27541c4c92,skincare,15,12,Aslavital-Clay-Powder-Treatment,Aslavital,"Aslavital, Clay, Powder, Treatment, العناية بالبشرة, الجمال, مكافحة الشيخوخة, الأردن",بودرة الطين للعلاجات التجميلية...,Aslavital Clay Powder Treatment  | المنتج الرسمي
Aslavital Collagen Ampoules,"امبولات مضادة للتجاعيد
مجمع فيرولان (زيت نخالة الأرز وحمض الفيروليك)،يضمن الحماية من الإجهاد التأكسدي مما يزيد من مستوى حماية البشرة ويمنحها مظهرًا أكثر شبابًا وصحة.

مركب الفريد من الطين الطبيعي ومستخلص التوت البري العضوي بتأثيرات قوية تعمل على تنشيط البشرة والخلايا، فهو يجدد البشرة ويرطبها ويقويها.","ensures protection against oxidative stress through the Ferulan Complex (Rice Bran Oil and Ferulic Acid), increasing the skin protection level and giving it a younger and healthier appearance. The unique complex of natural Clay, organic Goji berry extract has strong skin and cell energizing effects, it regenerates, moisturizes, and tonifies the skin.
 
 Result:
 The product ensures protection against oxidative stress through the Ferulan Complex (Rice Bran Oil and Ferulic Acid), increasing the skin protection level and giving it a younger and healthier appearance. The unique complex of natural Clay, organic Goji berry extract has strong skin and cell energizing effects, it regenerates, moisturizes, and tonifies the skin.
 
 How to use:
 * The product ensures protection against oxidative stress through the Ferulan Complex (Rice Bran Oil and Ferulic Acid), increasing the skin protection level and giving it a younger and healthier appearance. The unique complex of natural Clay, organic Goji berry extract has strong skin and cell energizing effects, it regenerates, moisturizes, and tonifies the skin.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FAslavital-Collagen-Ampoules.png?alt=media&token=c3a83946-fe43-4a0c-a5ef-e0cf759d6604,skincare,49,39.2,Aslavital-Collagen-Ampoules,Aslavital,"Aslavital, Collagen, Ampoules, العناية بالبشرة, الجمال, مكافحة الشيخوخة, الأردن","امبولات مضادة للتجاعيد
مجمع فيرولان (زيت نخالة الأرز وحمض الفيروليك)،يضمن الحماية من الإجهاد التأكسدي مما يزيد من مستوى حماية البشرة ويمنحها مظهرًا أك...",Aslavital Collagen Ampoules  | المنتج الرسمي
Aslavital Contour Cream For Eyes And Lips,"كريم العين و الشفاه
يعمل على الترطيب وتغذية وتهدئة وحماية البشرة  و تنعيم التجاعيد و تجديد الخلايا، ومحاربة الهالات السوداء والانتفاخات
تركيبة خاصة تحمي البشرة الرقيقة حول العينين والشفتين من العوامل الخارجية (الأشعة فوق البنفسجية، التلوث، دخان الرياح) .

الاستخدام:
يوضع في الصباح والمساء، بعد التنظيف الصحيح، ويدلك بلطف بحركات دائرية.","restores the beauty of your eyes and lips due to: - the intense effect of hydration and nourishing, soothing and protection - instant effect of smoothing the wrinkles, after applying it for only one day - cell regenerating effect, fighting against dark circles and pouches It's a special formula, protects the delicate skin around eyes and lips against external factors (UV rays, pollution, wind smoke) and the destructive action of free radicals.
 
 How to use:
 Apply in the morning and evening, after correct cleansing, massaging gently with circular movements.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FAslavital-Contour-Cream-For-Eyes-And-Lips.png?alt=media&token=580047f5-0b7e-46f0-bebc-b5e61807ed93,skincare,36,28.8,Aslavital-Contour-Cream-For-Eyes-And-Lips,Aslavital,"Aslavital, Contour, Cream, For, Eyes, And, Lips, العناية بالبشرة, الجمال, مكافحة الشيخوخة, الأردن","كريم العين و الشفاه
يعمل على الترطيب وتغذية وتهدئة وحماية البشرة  و تنعيم التجاعيد و تجديد الخلايا، ومحاربة الهالات السوداء والانتفاخات
تركيبة خاصة تح...",Aslavital Contour Cream For Eyes And Lips  | المنتج الرسمي
Aslavital Ultra-Active Lift Cream,"كريم مضاد للتجاعيد
يتميز بتأثير تنعيم رائع على التجاعيد، ويحسن من تجديد الخلايا، ويجدد البشرة، ويخلق إحساسًا حريريًا لطيفًا للغاية.
مستخلص جاتولين إكسبريشن والطين يعمل على محاربة التجاعيد. من خلال منع الانقباضات العفوية لعضلات الوجه،
مستخلصات البوسويليا سيراتا والطين تعمل على تهدئة البشرة، حيث تعمل على تنشيط الدورة الدموية ومكافحة الهالات السوداء والجيوب.
مجمع الزيوت الطبيعية (زبدة الشيا، زيت الصويا، السكوالين) المرتبط بالطين والمبادئ النشطة الطبيعية  توفر ترطيب للبشرة.
حمض الفيروليك وفيتامينات E  و A  تقلل من الخطوط الدقيقة وبقع التصبغ وتزيد من مرونة الجلد وتحفز إنتاج الإيلاستين والكولاجين وتمنع التلف.
الهرمونات النباتية تعمل على تعويض نقص البشرة الناضجة وتحفيز عملية تجديد الخلايا.
يعمل على إزالة التجاعيد فوريًا ويقلل التجاعيد بشكل مرئي بعد يوم واحد فقط من الاستخدام. يعطي راحة البشرة بعد 10 أيام فقط من الاستخدام.

الاستخدام:
ضعيه مرتين في اليوم، في الصباح والمساء، على الوجه والرقبة ومنطقة الصدر، بعد التنظيف الصحيح، ودلكي بلطف بحركات دائرية، حتى يمتص تمامًا.","Anti-wrinkle cream
It has a wonderful smoothing effect on wrinkles, improves cell renewal, rejuvenates the skin, and creates a very pleasant silky sensation.
Gatulin Expression Extract and Clay work to combat wrinkles. By preventing spontaneous contractions of the facial muscles,
Boswellia Serrata Extract and Clay soothe the skin, activating blood circulation and combating dark circles and puffiness.
The complex of natural oils (shea butter, soybean oil, squalene) associated with clay and natural active principles provide hydration to the skin.
Ferulic acid and vitamins E and A reduce fine lines and pigmentation spots, increase skin elasticity, stimulate the production of elastin and collagen and prevent damage.
Phytohormones replenish mature skin and stimulate the cell renewal process.
It works to remove wrinkles immediately and visually reduce wrinkles after just one day of use. Gives skin comfort after just 10 days of use.

Usage: Apply twice a day, morning and evening, to the face, neck and chest area, after proper cleansing, and massage gently in circular motions, until completely absorbed.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FAslavital-Ultra-Active-Lift-Cream.png?alt=media&token=5a659116-7789-4af3-8066-9c449de13d66,skincare,36,28.8,Aslavital-Ultra-Active-Lift-Cream,Aslavital,"Aslavital, Ultra-Active, Lift, Cream, العناية بالبشرة, الجمال, مكافحة الشيخوخة, الأردن","كريم مضاد للتجاعيد
يتميز بتأثير تنعيم رائع على التجاعيد، ويحسن من تجديد الخلايا، ويجدد البشرة، ويخلق إحساسًا حريريًا لطيفًا للغاية.
مستخلص جاتولين إكس...",Aslavital Ultra-Active Lift Cream  | المنتج الرسمي
Coverderm Camouflage Classic,"مكياج فريد مقاوم للماء لتغطية عالية.
يغطي بشكل مثالي أي عيب شديد في الجلد مثل الندبات والحروق وحب الشباب والبقع العمرية والبهاق وبقع الشمس والوشم ، سهل الاستخدام، يمكن استخدامه للوجه والجسم.

يدوم 24 ساعة
يوفر حماية عالية من الشمس SPF 30
مقاوم للماء
 ويوفر تغطية عالية، أو يمكن استخدامه بكميات أقل للحصول على مظهر طبيعي.
لا يسبب تهيج البشرة ويسمح لها بالتنفس.
متوفر بـ 12 لونًا. يرجى الرجوع إلى مخطط الألوان لاختيار الدرجة المناسب لبشرتك
مناسب لجميع أنواع البشرة

يوصي به أطباء الجلدية وفناني المكياج في جميع أنحاء العالم

camouflage Make-up  هوافضل قيمة مقابل المال : فهو يوفر تغطية تصل إلى 5 مرات أكثر من كريم الأساس العادي، لذلك ستستخدم كمية اقل لاعطياء نفس النتيجة

الاستخدام
قبل وضع المكياج غذي بشرتك بـ Skin Protector أو المرطب المفضل لديك.
ضعي كمية صغيرة من Coverderm Classic ووزعيها جيدًا بإصبعك أو إسفنجة. ثبتيها بالبودرة، ضعي Classic مرة أخرى على المنطقة المصابة، وثبتيها مرة أخرى بالبودرة.
ضعي بودرة التشطيب لتثبيت المكياج. يمكنك وضع بودرة التشطيب على البشرة الدهنية في أي وقت خلال اليوم لامتصاص الدهون والتخلص من تأثير المظهر اللامع.","Unique waterproof makeup for high coverage.
Perfectly covers any severe skin defect such as scars, burns, acne, age spots, vitiligo, sun spots and tattoos, easy to use, can be used for face and body.

Lasts 24 hours
Provides high sun protection SPF 30
Provides high coverage, or can be used in smaller quantities for a natural look.
Does not irritate the skin and allows it to breathe.
Available in 12 shades. Please refer to the color chart to choose the right shade for your skin
Suitable for all skin types

Recommended by dermatologists and makeup artists worldwide

Camouflage Make-up is the best value for money: it provides up to 5 times more coverage than regular foundation, so you will use less to get the same result

Usage
Before applying makeup, nourish your skin with Skin Protector or your favorite moisturizer.
Apply a small amount of Coverderm Classic and spread it well with your finger or a sponge. Set with powder, reapply Classic to the affected area, and set with powder again.
Apply finishing powder to set makeup. You can apply finishing powder to oily skin at any time during the day to absorb oil and eliminate the shiny effect.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Camouflage-Classic.png?alt=media&token=f01198d9-3c09-496f-b05d-a28247bb3dd1,make-up,26,20.8,Coverderm-Camouflage-Classic,Coverderm,"Coverderm, Camouflage, Classic, العناية بالبشرة, الجمال, مكافحة الشيخوخة, الأردن","مكياج فريد مقاوم للماء لتغطية عالية.
يغطي بشكل مثالي أي عيب شديد في الجلد مثل الندبات والحروق وحب الشباب والبقع العمرية والبهاق وبقع الشمس والوشم ، سه...",Coverderm Camouflage Classic | المنتج الرسمي
Coverderm Camouflage Compact Powder,"بودرة مضغوطة لجميع أنواع البشرة.
يمكن استخدامها لتثبيت المكياج أو وضعها بمفردها لإضفاء لون جذاب على بشرتك وتقليل ظهور الخطوط الدقيقة.

مقاوم للماء
لا يسبب تهيج البشرة ويسمح لها بالتنفس.
متوفر بـ 6  الوان. يرجى الرجوع إلى مخطط الألوان لاختيار الدرجة المناسب لبشرتك
متوفر ب 3  تركيبات ليناسب نوع بشرتك (تركيبة للبشرة الجافة او العادية او الدهنية)","Compact powder that satisfies the individual needs of each skin type. They can be used either to set the camouflage make-up or to be applied by themselves to render attractive shades onto your skin and diminish the look of fine lines.

It is clinically proven non-comedogenic (non-acnegenic), hypoallergenic, waterproof in 3 different formulas (normal-dry-oily) and different shades.
",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Camouflage-Compact-Powder.png?alt=media&token=7d624fdd-e6f2-4c26-a72f-00276c973aa2,make-up,23,18.4,Coverderm-Camouflage-Compact-Powder,Coverderm,"Coverderm, Camouflage, Compact, Powder, العناية بالبشرة, الجمال, مكافحة الشيخوخة, الأردن","بودرة مضغوطة لجميع أنواع البشرة.
يمكن استخدامها لتثبيت المكياج أو وضعها بمفردها لإضفاء لون جذاب على بشرتك وتقليل ظهور الخطوط الدقيقة.

مقاوم للماء
لا ...",Coverderm Camouflage Compact Powder | المنتج الرسمي
Coverderm Camouflage Concealer,"كونسيلر ممتاز يغطي الهالات السوداء والخطوط الدقيقة

يعطي مظهرًا مشرقًا لمنطقة أسفل العين ، تخفي الهالات السوداء وأي عيب تحت العين في لحظة. كما أنه مثالي لتنعيم الانتفاخات تحت العين، ويمكن استخدامه لتغطية حب الشباب والبثور والبهاق والبقع الداكنة

كونسيلر مضاد للحساسية غني بعوامل مضادة للشيخوخة تحارب الجذور الحرة لمظهر أكثر شبابًا ، مثالي للمسات الأخيرة اليومية أثناء التنقل، يمكن استخدامه بكميات أقل لمظهر طبيعي مثالي لأي امرأة عاملة ترغب في مكياج بمظهر طبيعي يدوم طوال اليوم.

مقاوم للماء
يدوم 24 ساعة
ويوفر حماية عالية من الشمس SPF 30
تم اختباره ضد الحساسية. لا يسبب تهيج العين.
متوفر بـ 6 ألوان. يرجى الرجوع إلى مخطط الألوان لاختيار الدرجة

يوصي به أطباء الجلدية وفناني المكياج في جميع أنحاء العالم!


camouflage Make-up  هوافضل قيمة مقابل المال : فهو يوفر تغطية تصل إلى 5 مرات أكثر من كريم الأساس العادي، لذلك ستستخدم كمية اقل لاعطياء نفس النتيجة

الاستخدام
قبل وضع المكياج غذي بشرتك بـ Skin Protector أو المرطب المفضل لديك.
ضعي كمية صغيرة من Coverderm Concealer  ووزعيها جيدًا بإصبعك أو إسفنجة.
لا ينصح باستخدام الألوان الفاتحة للهالات السوداء. استخدمي درجة مناسبة للون بشرتك.
ضعي بودرة التشطيب لتثبيت تأثير الإخفاء على البثور والبقع الداكنة والبهاق. يمكنك وضع بودرة التثبيت أسفل العين للحصول على مظهر أكثر إشراقًا.","Excellent concealer that covers dark circles and fine lines

Gives a bright look to the under eye area, hides dark circles and any under eye blemish in an instant. It is also ideal for smoothing under eye puffiness, and can be used to cover acne, pimples, vitiligo and dark spots

Hypoallergenic concealer enriched with anti-aging agents that fight free radicals for a more youthful appearance, ideal for daily touch-ups on the go, can be used in smaller quantities for a natural look Ideal for any working woman who wants a natural-looking makeup look that lasts all day.

Waterproof
24-hour wear
Provides high sun protection SPF 30
Allergy tested. Non-irritating to the eyes.

Available in 6 shades. Please refer to the color chart to choose your shade

Recommended by dermatologists and makeup artists worldwide!

Camouflage Make-up is the best value for money: it provides up to 5 times more coverage than regular foundation, so you will need less to get the same result.

Usage
Before applying makeup, nourish your skin with Skin Protector or your favorite moisturizer.
Apply a small amount of Coverderm Concealer and spread it well with your finger or a sponge.
It is not recommended to use light colors for dark circles. Use a shade that suits your skin tone.
Apply finishing powder to fix the concealing effect on pimples, dark spots and vitiligo. You can apply fixing powder under the eye for a brighter look.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Camouflage-Concealer.png?alt=media&token=52c38d93-5892-458d-b01e-319937b1eb30,make-up,17,13.6,Coverderm-Camouflage-Concealer,Coverderm,"Coverderm, Camouflage, Concealer, العناية بالبشرة, الجمال, مكافحة الشيخوخة, الأردن","كونسيلر ممتاز يغطي الهالات السوداء والخطوط الدقيقة

يعطي مظهرًا مشرقًا لمنطقة أسفل العين ، تخفي الهالات السوداء وأي عيب تحت العين في لحظة. كما أنه مثا...",Coverderm Camouflage Concealer | المنتج الرسمي
Coverderm Camouflage Finishing Powder,"بودرة التثبيت من كوفيرديرم 
بودرة شفافة ومضادة للحساسية، تتداخل بشكل مثالي مع المكياج وتضفي إشراقة وملمسًا حريريًا على الوجه.

البودرة المثالية لتثبيت المكياج وإكمال تأثيره طوال اليوم. ولأنها شفافة، فهي تتناسب تمامًا مع جميع درجات المكياج. مثالية لامتصاص الدهون والعرق.","Coverderm Finishing Powder - A translucent, hypoallergenic, loose powder that blends perfectly into the make-up and renders radiance and silky texture to the face.
 It is the ideal powder to set the Camouflage make-ups and completes their natural looking effect throughout the day. Being translucent it matches perfectly with all make-up shades. Ideal to absorb sebum and sweat.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Camouflage-Finishing-Powder.png?alt=media&token=84284d4a-3af8-47b9-a46a-0a22f51264bc,make-up,23.5,18.8,Coverderm-Camouflage-Finishing-Powder,Coverderm,"Coverderm, Camouflage, Finishing, Powder, العناية بالبشرة, الجمال, مكافحة الشيخوخة, الأردن","بودرة التثبيت من كوفيرديرم 
بودرة شفافة ومضادة للحساسية، تتداخل بشكل مثالي مع المكياج وتضفي إشراقة وملمسًا حريريًا على الوجه.

البودرة المثالية لتثبيت...",Coverderm Camouflage Finishing Powder  | المنتج الرسمي
Coverderm Camouflage Perfect Face,"مكياج فريد مقاوم للماء لإطلالة مثالية كل يوم.

يغطي أي عيوب بسيطة في البشرة وتغير لونها، وحب الشباب، والبقع العمرية، والبهاق، والبقع الشمسية. التركيبة الخالية من الزيوت مناسبة لجميع أنواع البشرة والبشرة الدهنية المعرضة لحب الشباب.

Perfect Face - مكياج سهل التطبيق مثالي لإخفاء العيوب البسيطة والبقع، والبشرة الشاحبة ولون البشرة غير المتساوي. كما أنه مناسب لعيوب البشرة مثل حب الشباب، والبهاق، والأورام الوعائية الباهتة، وقناع الحمل، والبقع العمرية والشمسية، والتصبغ، والنمش واحمرار الوجه.

يدوم 24 ساعة
يوفر حماية عالية من الشمس SPF 20
مقاوم للماء
 ويوفر تغطية عالية، أو يمكن استخدامه بكميات أقل للحصول على مظهر طبيعي.
لا يسبب تهيج البشرة ويسمح لها بالتنفس.
متوفر بـ 11 لونًا. يرجى الرجوع إلى مخطط الألوان لاختيار الدرجة المناسب لبشرتك
تركيبة اقتصادية ومركزة للغاية، تدوم 6 أشهر، تستخدم يوميًا.

يوصي به أطباء الجلدية وفناني المكياج في جميع أنحاء العالم!


camouflage Make-up  هوافضل قيمة مقابل المال : فهو يوفر تغطية تصل إلى 5 مرات أكثر من كريم الأساس العادي، لذلك ستستخدم كمية اقل لاعطياء نفس النتيجة

الاستخدام
قبل وضع المكياج غذي بشرتك بـ Skin Protector أو المرطب المفضل لديك.
ضعي كمية صغيرة من Coverderm Perfect Face  ووزعيها جيدًا بإصبعك أو إسفنجة. ثبتيها بالبودرة، ضعي Classic مرة أخرى على المنطقة المصابة، وثبتيها مرة أخرى بالبودرة.
ضعي بودرة التشطيب لتثبيت المكياج. يمكنك وضع بودرة التشطيب على البشرة الدهنية في أي وقت خلال اليوم لامتصاص الدهون والتخلص من تأثير المظهر اللامع.","Unique waterproof makeup for a perfect everyday look.

Covers minor skin imperfections and discoloration, acne, age spots, vitiligo, and sun spots. The oil-free formula is suitable for all skin types and oily acne-prone skin.

Perfect Face - Easy-to-apply makeup is ideal for concealing minor imperfections and spots, dull skin and uneven skin tone. It is also suitable for skin imperfections such as acne, vitiligo, pale hemangiomas, pregnancy mask, age and sun spots, pigmentation, freckles and facial redness.

Lasts 24 hours
Provides high sun protection SPF 20
Water resistant
Provides high coverage, or can be used in smaller quantities for a natural look.
Non-irritating and allows the skin to breathe.
Available in 11 shades. Please refer to the color chart to choose the right shade for your skin
Economical and highly concentrated formula, lasts 6 months, used daily.

Recommended by dermatologists and makeup artists worldwide!

Camouflage Make-up is the best value for money: it provides up to 5x more coverage than regular foundation, so you’ll need less to achieve the same result.

Usage
Before applying make-up, nourish your skin with Skin Protector or your favourite moisturiser.
Apply a small amount of Coverderm Perfect Face and spread evenly with your finger or a sponge. Set with powder, reapply Classic to the affected area, and set with powder again.
Apply finishing powder to set make-up. You can apply finishing powder to oily skin at any time during the day to absorb oil and eliminate the shine effect.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Camouflage-Perfect-Face.png?alt=media&token=fa164f16-83c9-46b0-b3b0-a126431eb263,make-up,33,26.4,Coverderm-Camouflage-Perfect-Face,Coverderm,"Coverderm, Camouflage, Perfect, Face, العناية بالبشرة, الجمال, مكافحة الشيخوخة, الأردن","مكياج فريد مقاوم للماء لإطلالة مثالية كل يوم.

يغطي أي عيوب بسيطة في البشرة وتغير لونها، وحب الشباب، والبقع العمرية، والبهاق، والبقع الشمسية. التركيبة...",Coverderm Camouflage Perfect Face | المنتج الرسمي
